1 2
emin+1:  0.000000e+00, e+1:  0.000000e+00, T: 1.0000e+00
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 6.3096e-11, no:   12876, try:    153000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 4.7276e-11, no:   84654, try:    154500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 3.9811e-11, no:  508563, try:    156000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 2.9829e-11, no:     549, try:    157500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 2.5119e-11, no:    4137, try:    159000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 1.8821e-11, no:   15059, try:    160500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 1.5849e-11, no:   46019, try:    162000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 1.1875e-11, no:  196545, try:    163500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 1.0000e-11, no:   27039, try:    165000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 7.4928e-12, no:   29110, try:    166500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 6.3096e-12, no:   69780, try:    168000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 4.7276e-12, no:  159376, try:    169500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 3.9811e-12, no:   50620, try:    171000000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 2.9829e-12, no:   42298, try:    172500000
emin+1: -7.320508e-01, e+1: -7.320508e-01, T: 2.5119e-12, no:   80907, try:    174000000
